source_term	ja_term	note
phishing	フィッシング	偽サイト・偽メールで個人情報を詐取する攻撃
man-in-the-middle attack	中間者攻撃	通信経路に割り込んで盗聴・改ざんを行う攻撃
denial of service	サービス拒否攻撃（DoS攻撃）	大量のリクエストでサービスを停止させる攻撃
Linux	Linux	オープンソースのOSカーネル。固有名詞のためそのまま使用
ParanoidLinux	ParanoidLinux	作中の匿名重視Linuxディストリビューション（架空）。そのまま保持
kernel	カーネル	OSの中核プログラム
firmware	ファームウェア	ハードウェアに組み込まれたソフトウェア
open source	オープンソース	ソースコードが公開されているソフトウェア
free software	フリーソフトウェア	自由に使用・改変・配布できるソフトウェア（「無料」ではなく「自由」）
ARPAnet	ARPAnet	インターネットの前身となった米国防省のネットワーク。固有名詞のためそのまま
blog	ブログ	ウェブ上の日記・意見記事形式のサイト
podcast	ポッドキャスト	インターネット上の音声・映像配信番組
w1n5t0n	w1n5t0n	マーカスのParanoidLinuxログイン名。原文のleet-speakをそのまま保持
M1k3y	M1k3y	XnetでのマーカスのハンドルネームであるM1k3y。原文のleet-speakをそのまま保持
Xnet	Xnet	作中のアンダーグラウンドネットワーク名。そのまま保持
DarkNet	DarkNet	作中・文脈上のプライベートネットワーク。そのまま保持
ARG	ARG（Alternate Reality Game）	現実を舞台にした謎解きゲーム。初出時に括弧内で解説
gait analysis	歩行分析	歩き方のパターンから個人を識別する生体認証技術
biometrics	生体認証	指紋・虹彩・顔・歩行など身体的特徴による認証
false positive	誤検知 / 偽陽性	正常なものをセキュリティ上の脅威と誤って判定すること
false negative	見逃し / 偽陰性	真の脅威を検知できないこと
Fourth Amendment	合衆国憲法修正第4条	不合理な捜索・逮捕から市民を守る条項。初出時に内容を簡単に補足
First Amendment	合衆国憲法修正第1条	言論・報道・宗教・集会の自由を保障する条項
civil disobedience	市民的不服従	不正義な法律や権力に対する非暴力的な抵抗
EFF	EFF（Electronic Frontier Foundation）	電子フロンティア財団。デジタル市民権を守るNPO。初出時に正式名称を付記
Electronic Frontier Foundation	電子フロンティア財団（Electronic Frontier Foundation）	デジタル時代の市民権・プライバシーを擁護する米国のNPO
ACLU	ACLU（American Civil Liberties Union）	米国自由人権協会。初出時に正式名称を付記
Xbox	Xbox	Microsoftのゲーム機。固有名詞のためそのまま使用
PlayStation	PlayStation	ソニーのゲーム機。固有名詞のためそのまま使用（プレイステーションも可）
handle	ハンドル（ハンドルネーム）	オンライン上のニックネーム。英語のまま「ハンドル」で可
tell	テル	ポーカー用語。無意識に相手の状態を知らせる仕草や癖。本書ではメタファーとして使用。そのまま「テル」
The Man	お上 / 体制	権力・支配体制を指す米国若者スラング。学校・職場の権力者文脈では「学校のお上」「お上」が自然。より広い政治的文脈では「体制」も可。文脈依存。
perp-walk	容疑者の見せしめ連行	逮捕した容疑者をメディアの前で歩かせること。Ch.1パイロットでの確定訳：「事務局まで容疑者の見せしめ連行よろしく歩き出した」。自虐的ユーモアを保持。
snitch chips	スニッチチップ	生徒の居場所を追跡するためIDカードなどに埋め込まれたRFIDチップ。「密告チップ」の意。snitch tagsも同様
snitch tags	スニッチタグ	snitch chipsと同義。RFID追跡タグ
gait-recognition software	歩行認識ソフトウェア	歩き方のパターンで個人を識別するソフト。glossaryの gait analysis（歩行分析）も参照
applied security research	応用セキュリティ研究（applied security research）	マーカスが自らのハッキング活動を指す自嘲的な表現。括弧内に英語を保持
PA	校内放送（PA）	Public Address System。学校の館内放送システム。初出時に「校内放送（PA）」と記載
senior	3年生（高校3年生）	米国高校制度でのsenior（4年制の最終学年）。日本の高校3年生に相当
vice-principal	副校長	学校の副校長。日本と同様の役職
sucking chest wound	人間の形をした、胸にぽっかり穴の開いた傷口みたいなやつ	医療的外傷用語（開放性気胸）を強烈な侮辱として使った表現。Ch.1パイロット確定訳：グロテスクな比喩を保持し、訳注なしで読める形に。
teh suck	最悪 / 最低	2000年代インターネットスラングで "the suck" の意図的な誤字。「最悪オブ最悪」など時代感を出した訳を検討
wet kleenex	濡れたティッシュ	「役に立たないもの」の比喩。そのまま意訳可
muy prohibido	muy prohibido（超禁止）	スペイン語「非常に禁止」。ミッション地区のラテン系文化を反映したカジュアルな表現。スペイン語のまま保持し括弧内に訳を付記
Harajuku Fun Madness	ハラジュク・ファン・マッドネス（Harajuku Fun Madness）	作中のARG（代替現実ゲーム）。初出時に英語名を括弧内に表記
minder-tracer	監視トレーサー	携帯電話などの位置追跡機能を指す作中表現
runty	小柄な	体格が小さい・貧弱な。「ひ弱」（病弱の意）は誤訳。「小柄な」を使用。
